Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend,Notes
Wed Sep 9 2020,9:00p,Los Angeles Clippers,96,Denver Nuggets,85,Box Score,,,
Thu Sep 10 2020,7:00p,Los Angeles Lakers,110,Houston Rockets,100,Box Score,,,
Fri Sep 11 2020,6:30p,Denver Nuggets,111,Los Angeles Clippers,105,Box Score,,,
Fri Sep 11 2020,9:00p,Boston Celtics,92,Toronto Raptors,87,Box Score,,,
Sat Sep 12 2020,8:00p,Houston Rockets,96,Los Angeles Lakers,119,Box Score,,,
Sun Sep 13 2020,1:00p,Los Angeles Clippers,98,Denver Nuggets,111,Box Score,,,
Tue Sep 15 2020,6:30p,Miami Heat,117,Boston Celtics,114,Box Score,OT,,
Tue Sep 15 2020,9:00p,Denver Nuggets,104,Los Angeles Clippers,89,Box Score,,,
Thu Sep 17 2020,7:00p,Miami Heat,106,Boston Celtics,101,Box Score,,,
Fri Sep 18 2020,9:00p,Denver Nuggets,114,Los Angeles Lakers,126,Box Score,,,
Sat Sep 19 2020,8:30p,Boston Celtics,117,Miami Heat,106,Box Score,,,
Sun Sep 20 2020,7:30p,Denver Nuggets,103,Los Angeles Lakers,105,Box Score,,,
Tue Sep 22 2020,9:00p,Los Angeles Lakers,106,Denver Nuggets,114,Box Score,,,
Wed Sep 23 2020,8:30p,Boston Celtics,109,Miami Heat,112,Box Score,,,
Thu Sep 24 2020,9:00p,Los Angeles Lakers,114,Denver Nuggets,108,Box Score,,,
Fri Sep 25 2020,8:30p,Miami Heat,108,Boston Celtics,121,Box Score,,,
Sat Sep 26 2020,9:00p,Denver Nuggets,107,Los Angeles Lakers,117,Box Score,,,
Sun Sep 27 2020,7:30p,Boston Celtics,113,Miami Heat,125,Box Score,,,
Wed Sep 30 2020,9:00p,Miami Heat,98,Los Angeles Lakers,116,Box Score,,,
Fri Oct 2 2020,9:00p,Miami Heat,114,Los Angeles Lakers,124,Box Score,,,
Sun Oct 4 2020,7:30p,Los Angeles Lakers,104,Miami Heat,115,Box Score,,,
Tue Oct 6 2020,9:00p,Los Angeles Lakers,102,Miami Heat,96,Box Score,,,
Fri Oct 9 2020,9:00p,Miami Heat,111,Los Angeles Lakers,108,Box Score,,,
Sun Oct 11 2020,7:30p,Los Angeles Lakers,106,Miami Heat,93,Box Score,,,
